# Every address the cartridge was seen to execute, with the banks in force.
# Written by msx2go -sweep: observation, not inference.
4182 0,1,2,11
4182 0,1,2,12
4182 0,1,2,3
4182 0,1,2,9
4182 0,13,14,15
4182 0,7,8,9
4185 0,1,10,15
4185 0,1,14,15
4185 0,1,14,3
4185 0,1,2,11
4185 0,1,2,12
4185 0,1,2,3
4185 0,1,2,9
4185 0,13,14,15
4185 0,7,8,9
4188 0,1,10,15
4188 0,1,14,15
4188 0,1,14,3
4188 0,1,2,12
4188 0,1,2,9
4188 0,1,8,9
4188 0,13,2,3
4188 0,7,2,11
4188 0,7,2,3
4188 0,7,8,9
4189 0,1,10,15
4189 0,1,14,15
4189 0,1,14,3
4189 0,1,2,12
4189 0,1,2,9
4189 0,1,8,9
4189 0,13,2,3
4189 0,7,2,11
4189 0,7,2,3
4189 0,7,8,9
418A 0,1,10,15
418A 0,1,14,15
418A 0,1,14,3
418A 0,1,2,12
418A 0,1,2,9
418A 0,1,8,9
418A 0,13,2,3
418A 0,7,2,11
418A 0,7,2,3
418A 0,7,8,9
418B 0,1,10,15
418B 0,1,14,15
418B 0,1,14,3
418B 0,1,2,12
418B 0,1,2,9
418B 0,1,8,9
418B 0,13,2,3
418B 0,7,2,11
418B 0,7,2,3
418B 0,7,8,9
418E 0,1,2,12
418E 0,1,2,15
418E 0,1,2,3
418E 0,1,2,9
418E 0,13,14,3
418E 0,7,8,11
418E 0,7,8,3
418E 0,7,8,9
418F 0,1,2,12
418F 0,1,2,15
418F 0,1,2,3
418F 0,1,2,9
418F 0,13,14,3
418F 0,7,8,11
418F 0,7,8,3
418F 0,7,8,9
4190 0,1,2,12
4190 0,1,2,15
4190 0,1,2,3
4190 0,1,2,9
4190 0,13,14,3
4190 0,7,8,11
4190 0,7,8,3
4190 0,7,8,9
4191 0,1,2,12
4191 0,1,2,15
4191 0,1,2,3
4191 0,1,2,9
4191 0,13,14,3
4191 0,7,8,11
4191 0,7,8,3
4191 0,7,8,9
4194 0,1,2,3
4194 0,13,14,15
4194 0,7,8,9
4195 0,1,2,3
4195 0,13,14,15
4195 0,7,8,9
4196 0,1,2,3
4196 0,13,14,15
4196 0,7,8,9
4197 0,1,2,3
4197 0,13,14,15
4197 0,7,8,9
4198 0,1,2,3
4198 0,13,14,15
4198 0,7,8,9
4199 0,1,10,11
4199 0,1,10,15
4199 0,1,10,9
4199 0,1,2,3
419A 0,1,10,11
419A 0,1,10,15
419A 0,1,10,9
419A 0,1,2,3
419C 0,1,10,11
419C 0,1,10,15
419C 0,1,10,9
419C 0,1,2,3
419F 0,1,10,11
419F 0,1,10,15
419F 0,1,10,3
419F 0,1,10,9
41A2 0,1,10,11
41A2 0,1,10,15
41A2 0,1,10,3
41A2 0,1,10,9
41A4 0,1,10,11
41A4 0,1,10,15
41A4 0,1,10,3
41A4 0,1,10,9
41A7 0,1,10,15
41AA 0,1,10,15
41AB 0,1,10,15
41AC 0,1,2,3
41AE 0,1,2,3
41B2 0,1,2,3
41B3 0,1,2,3
41B6 0,1,14,3
41B9 0,1,14,3
41BA 0,1,14,3
41BF 0,1,10,15
41BF 0,1,2,12
41BF 0,1,2,3
41C1 0,1,10,15
41C1 0,1,2,12
41C1 0,1,2,3
41C3 0,1,10,11
41C5 0,1,10,11
41C7 0,1,10,15
41C7 0,1,2,12
41C7 0,1,2,3
41C9 0,1,10,15
41C9 0,1,2,12
41C9 0,1,2,3
41CB 0,1,2,11
41CB 0,1,2,3
41CD 0,1,10,11
41CD 0,1,10,15
41CD 0,1,2,11
41CD 0,1,2,12
41CD 0,1,2,3
41CE 0,1,10,11
41CE 0,1,10,15
41CE 0,1,2,11
41CE 0,1,2,12
41CE 0,1,2,3
41D0 0,1,14,15
41D0 0,1,2,11
41D0 0,1,2,12
41D0 0,1,2,3
41D0 0,1,2,9
41D2 0,1,14,15
41D2 0,1,2,11
